0	Do you agree?
1	Failed to Connect to Server.
2	Disconnected from Server.
3	Disconnected from Server!
4	Server Closed.
5	Someone has Logged in with this ID.
6	Unregistered ID. Please make sure you have a registered account and you have correctly typed in the user ID.
7	Incorrect User ID or Password. Please try again.
8	This ID is expired.
9	Rejected from Server.
10	Character Name already exists.
11	Character Creation is denied.
12	Character Deletion is denied.
13	Please Enter Room Title.
14	Foul Language Detected.
15	Please enter Password.
16	Please enter Password. Passwords must be at least 4 characters long.
17	Are you sure that you want to quit?
18	Passwords are at least 4 characters long. Please try again.
19	Are you sure that you want to delete this character?
20	Foul Language Detected.
21	Character Name must be at least 4 characters long.
22	Command List: /h | /help
23	Effects On
24	Effects Off
25	Sound Volume
26	BGM Volume
27	Sound Effects On
28	Sound Effects Off
29	Frame Skip On
30	Frame Skip Off
31	BGM On
32	BGM Off
33	/h or /help: Shows this Command Help List
34	/w or /who or /player or /who: wiew current the number of player
35	/music: Turns BGM On or Off
36	/sound: Turns Sound Effects On or Off
37	/effect: Effects On or Off
38	/where: Shows your present location
39	/skip: Turns Frame Skip On or Off
40	/v (0~127): Controls the volume of the Sound Effects
41	/bv (0~127): Controls the volume of the BGM
42	/ex (Character Name): Blocks whispering from the Character
43	/ex: View a list of Characters you have Blocked
44	/in (Character Name): Allows whispering from the Character
45	/inall: Allows whispers from anyone
46	/exall: Blocks whispers from everyone
47	Right click on a character and select [Register as a Friend] to add a person to your Friend List.
48	F12 Brings up a Hotkey Window which allows you to drag and drop Recovery Items, Equipment and Skills into it for faster access.
49	You can't type the same word/phrase more than 3 times.
50	Chat Filter: Yeah, uh, I don't think so buddy...
51	You cannot overlap items on a window.
52	You cannot carry more items because you are overweight.
53	You cannot get the item.
54	The deal has successfully completed.
55	You do not have enough zeny.
56	You are over your Weight Limit.
57	The deal has failed.
58	You've blocked whispers from everyone.
59	You've failed to block all whispers.
60	You've allowed whispers from everyone.
61	You've failed to allow all whispers.
62	You have no Block List.
63	[ Character Block List ]
64	Room has been successfully created.
65	Room Limit Exceeded.
66	Same Room exists.
67	The Room is full.
68	You have been kicked out of this room.
69	The deal has been rejected.
70	You are too far away from the person to trade.
71	The Character is not currently online or does not exist.
72	The person is in another deal.
73	You cannot trade because this character will exceed his weight limit.
74	The deal has been canceled.
75	The deal has successfully completed.
76	The deal has failed.
77	Party has successfully been organized.
78	That Party Name already exists.
79	The Character is already in a party.
80	The Character already joined another party.
81	Request for party rejected.
82	Request for party accepted.
83	Party Capacity exceeded.
84	You left the party.
85	Send to All
86	Send to Party
87	Request a deal with %s
88	Ask %s to join your party
89	Pri:
90	Pub:
91	Click ''Restart'' to go back to your save point or click ''Exit'' to select another character.
92	Please select a Deal Type.
93	requests a deal.
94	Party has sent you an invitation. Would you like to join?
95	Invalid Command
96	Leave party
97	Expel
98	Send Message
99	1:1 Chat
100	Information
101	Party Setup
102	Friend
103	Party
104	Equipment
105	Status
106	Inventory
107	/organize ''Party Name'' To organize a party. Type /leave To leave a Party.
108	If you are the party master, you can invite someone into your party by right-clicking on a Character.
109	Consumables
110	Attack
111	Support
112	All
113	Weapons
114	Defense
115	Water
116	Earth
117	Fire
118	Wind
120	Please change your desktop Color Depth to 16-bit when running Ragnarok in windowed mode.
121	Please wait...
122	Please wait...
123	Please wait...
124	Please wait...
125	Make a Room
126	Room Setup
127	Kick Character Out
128	Give Master Authority
129	View Information
130	Chat Room
131	Ppl
132	/sit: Sit command. If you are sitting, you will stand instead.
133	/stand: Stand command. If you are standing, you will sit instead.
134	/chat: Creates a Chat Room
135	/q: Leaves a Chat Room
136	/deal ''Character Name'' Requests a deal with a character
137	/organize ''Party Name'' Organizes a party
138	/leave: Leaves a party
139	/expel ''Character Name'' kicks a Character out of your party
140	[Alt] + [End]: Turns HP/SP Bar On or Off
141	[Alt] + [Home]: Turns Ground Cursor On or Off
142	[Insert]: Makes you sit or stand. (Hotkey to toggle between /sit and /stand)
143	Congratulations! You are the MVP! Your reward item is
144	!
145	Congratulations! You are the MVP! Your reward EXP Points are
146	!!
147	You are the MVP, but you can't take the reward because you are over your weight limit.
148	There is no such character name or the user is offline.
149	doesn't want to receive your messages.
150	is not in the mood to talk with anyone.
151	Killed/Disconnected User.
152	Kill has failed.
153	You got %s (%d).
154	[Alt] + [=]: Fix the interval error between letters.
155	[F10]: To toggle Chat Window size; [Alt] + [F10]: Toggle Chat Window On or Off
156	How to Whisper: Enter a Character's Name on the left side of chat window and type your message on the right side. The Tab key helps you move between these boxes.
157	/!,/?,/ho,/lv,/lv2,/swt,/ic,/an,/ag,/$,/….,/thx,/wah,/sry,/heh,/swt2,/hmm,/no1,/??,/omg,/oh,/X,/hp,/go,/sob,/gg,/kis,/kis2,/pif,/ok: Emotion icons corresponding to Alt + (1~9) Ctrl + (-=\\)
158	How to Speak to Party: Add % in front of every message.(Example: \%Hello\)
159	You haven't learned enough Basic Skills to Trade.
160	You haven't learned enough Basic Skills to use Emotion icons.
161	You haven't learned enough Basic Skills to Sit.
162	You haven't learned enough Basic Skills to create a chat room.
163	You haven't learned enough Basic Skills to Party.
164	You haven't learned enough skills to Shout.
165	You haven't learned enough skills for Pking.
166	Buying Items
167	Item Shop
168	Selling Items
169	Storage
170	is put on.
171	is taken off.
172	To add names on the Whispering List
173	How to Take Screen Shots: Press [Print Screen] or [Scroll Lock]
174	Tip of the Day
175	^3850a0Did you know...?^709fed
176	Display at startup
177	/tip: Opens ''Tip of the Day''
178	There are %d Players Currently Connected.
179	(%s) has entered.
180	(%s) has left.
181	(%s) was kicked out.
182	%d ea.
183	%s: %d ea.
184	%s %s: %d
185	Available Items to sell
186	Shop Items
187	Unknown Area
188	Your Client language doesn't match the Server language.
189	Please move your equipment to the inventory. And close the equipment window.
190	This server provides English Text Characters Only.
191	This is not implemented yet.
192	No Whisper List.
193	: Whispering Blocked.
194	: Whispering Block has failed.
195	: Whispering Block has failed. Block List is full.
196	: Whispering accepted.
197	: Command has failed.
198	: Command has failed. Block List is full.
199	You cannot put a space at the beginning or end of a name.
200	Private
201	Public
202	Not Enough SP
203	Not Enough HP
204	Skill has failed.
205	Steal has failed.
206	Trade
207	Envenom skill has failed.
208	You cannot use this ID on this server.
209	Your Speed has increased.
210	Your Speed has decreased.
211	/memo: To memorize a place as Warp Point (If you are an Acolyte Class character)
212	Random Area
213	Select an Area to Warp
214	Skill Level is not high enough
215	There are no memorized locations (Memo Points).
216	You haven't learned Warp.
217	Saved location as a Memo Point for Warp Skill.
218	Cancel
219	There is a Delay after using a Skill.
220	You can't have this item because you will exceed the weight limit.
221	Out of the maximum capacity
222	Cart Items
223	Take off Cart
224	Opening a stall
225	Please Name your Shop.
226	My Shop
227	Merchant Shop
228	Buying Items
229	%s Purchase Failed %s
230	Out of Stock
231	%s %d sold.
232	Available Items for Vending
233	Skill has failed because you do not have enough zeny.
234	Select a Target.
235	/pk on: Turns PK On. /pk off: Turns PK Off.
236	Shop
237	Cart Items [Alt+W]
238	Basic Information
240	Buying %s has been failed. Out of Stock. Current Stock %d.
241	You've been disconnected due to a time gap between you and the server.
242	Please equip the proper ammunition first.
243	You can't attack or use skills because you've exceeded the Weight Limit.
244	You can't use skills because you've exceeded the Weight Limit.
245	Ammunition has been equipped.
246	Red Gemstone required.
247	Blue Gemstone required.
248	Strength
249	Agility
250	Vitality
251	Intelligence
252	Dexterity
253	Luck
254	Hit Point
255	Defence Rate
256	Accuracy
257	Critical Attack
258	Affiliated Guild
259	Points to level up each Parameter
260	Magic Attack
261	Magic Defense
262	Dodge
263	Attack Speed
264	Server is jammed due to over population. Please try again shortly.
265	Option
266	Account ID blocked by the Game Master Team.
267	Incorrect User ID or Password. Please try again.
268	Choose Hairstyle
269	Hit Point
270	Defence Rate
271	Attack Snap On
272	Attack Snap Off
273	Skill Snap On
274	Skill Snap Off
275	/snap: Turns snap On | Off for fights, /skillsnap: Turns snap On | Off for skills. /itemsnap: Turns snap On | Off for items on the grounds.
276	Item Snap On
277	Item Snap Off
278	Snap
279	You cannot carry more than 30,000 of one kind of item.
280	You cannot delete a Character with a level greater than 30. If you want to delete the character please contact a Game Master.
281	You cannot use an NPC shop while in a trade.
282	Shop Name
283	Skill Tree
284	Skill Point: %d
285	Skill has failed.
286	Passive
287	Individual
288	Shared
289	Individual
290	Party Share
291	Party Setup
292	How to share EXP
293	How to share Items
294	Only the Party Leader can change this setting.
295	Toggle Item Amount.
296	Character will be deleted after ^ff0000%d^000000 seconds. Press Cancel to quit.
297	You cannot trade more than 10 types of items per trade.
298	You are underaged.
299	Please enter the deletion password.
300	E-mail Address (Case Sensitive).
301	Character Deletion has failed because you have entered an incorrect e-mail address.
302	Enter Second Serial Cord of your Social Security number.
303	Character Deletion has failed because you have entered an incorrect SSN.
304	You can't sell more than 15 types of Items at one time.
305	The age limit from commandment tables cannot connect to this server.
306	HP/SP will not be restored when your carried weight is over 50% of the Weight Limit.
307	You can't use Skills or Attack while your carried weight is over 90% of your Weight Limit.
308	Your HP/SP are now being restored naturally.
309	Attack and Skills are now available.
310	Your Game's Exe File is not the latest version.
311	Items are sold out.
312	Save Chat as Text File
313	/savechat: Save a Chat Log
314	Register
315	Reject Whispering
316	Allow Whispering
317	Shows ''Miss''
318	Shows ''Miss''
319	Camera Zooming On
320	Camera Zooming Off
321	/camera: Camera Zooming On or Off. /miss: Toggle ''Miss'' display
322	View Skill Info
323	Change Skill
324	Sprite Resolution
325	Texture Resolution
326	Arrange Detail
327	You got %s Zeny
328	Guild Name
329	Guild lvl
330	ClanMaster Name
331	Number of Members
332	Avg.lvl of Guildsmen
333	Castles Owned
334	Tendency
335	EXP
336	Emblem
337	Tax Point
338	Alliances
339	Antagonists
340	Guild Info
341	Guildsmen Info
342	Position
343	Guild Skill
344	Expel History
345	Guild Notice
346	Entire Guild List
347	Whispering List
348	Open Whispering Window
349	How to Open Whispering List: Press [Alt] + [H]
350	Open Whispering List Automatically
351	Delete
352	Close since next
353	Last Log-in Time
354	Last Log-in IP
355	Friend Setup
